Heuristic
(.venv) E:\Khoa hoc\USTH\Machine Learning\Source\task-assignment-robotic-warehouse>python scripts/run_heuristic.py --num_episodes=10 --seed=0 --render
Completed Episode 0: | [Overall Pick Rate=31.68]| [Global return=23.80]| [Total shelf deliveries=22.00]| [Total clashes=14.00]| [Total stuck=0.00] | [FPS = 53.76]
Completed Episode 1: | [Overall Pick Rate=28.80]| [Global return=21.50]| [Total shelf deliveries=20.00]| [Total clashes=11.00]| [Total stuck=0.00] | [FPS = 59.78]
Completed Episode 2: | [Overall Pick Rate=24.48]| [Global return=17.70]| [Total shelf deliveries=17.00]| [Total clashes=6.00]| [Total stuck=0.00] | [FPS = 60.02]
Completed Episode 3: | [Overall Pick Rate=27.36]| [Global return=20.10]| [Total shelf deliveries=19.00]| [Total clashes=14.00]| [Total stuck=0.00] | [FPS = 59.21]
Completed Episode 4: | [Overall Pick Rate=28.80]| [Global return=21.40]| [Total shelf deliveries=20.00]| [Total clashes=13.00]| [Total stuck=0.00] | [FPS = 60.02]
Completed Episode 5: | [Overall Pick Rate=25.92]| [Global return=19.00]| [Total shelf deliveries=18.00]| [Total clashes=10.00]| [Total stuck=0.00] | [FPS = 59.99]
Completed Episode 6: | [Overall Pick Rate=27.36]| [Global return=20.10]| [Total shelf deliveries=19.00]| [Total clashes=10.00]| [Total stuck=0.00] | [FPS = 60.04]
Completed Episode 7: | [Overall Pick Rate=31.68]| [Global return=23.80]| [Total shelf deliveries=22.00]| [Total clashes=29.00]| [Total stuck=2.00] | [FPS = 59.95]
Completed Episode 8: | [Overall Pick Rate=33.12]| [Global return=24.90]| [Total shelf deliveries=23.00]| [Total clashes=19.00]| [Total stuck=0.00] | [FPS = 60.06]
Completed Episode 9: | [Overall Pick Rate=33.12]| [Global return=25.00]| [Total shelf deliveries=23.00]| [Total clashes=13.00]| [Total stuck=0.00] | [FPS = 59.98]

IAC_NS lần 1
Completed Episode 0: | [Overall Pick Rate=23.04]| [Global return=17.00]| [Total shelf deliveries=16.00]| [Total clashes=80.00]| [Total stuck=9.00] | [FPS = 311.15]
Completed Episode 1: | [Overall Pick Rate=21.60]| [Global return=15.80]| [Total shelf deliveries=15.00]| [Total clashes=70.00]| [Total stuck=9.00] | [FPS = 353.97]
Completed Episode 2: | [Overall Pick Rate=17.28]| [Global return=12.20]| [Total shelf deliveries=12.00]| [Total clashes=87.00]| [Total stuck=9.00] | [FPS = 353.91]
Completed Episode 3: | [Overall Pick Rate=21.60]| [Global return=16.40]| [Total shelf deliveries=15.00]| [Total clashes=19.00]| [Total stuck=2.00] | [FPS = 355.40]
